,bias,cells,cellswithmotif,cellswithmotif_sd,cellswithmotif_se,elong,maxstrandlen,motif,motiffreq,motiffreq_sd,motiffreq_se,nonemptystrands,nonemptystrands_sd,nonemptystrands_se,nr_samples,rounds,sampler_start,strands,trials
133,"[0.6, 0.4]",100,"['0.84613999999999989', '0.0048042064901500413']","['0.0076806510140742957', '0.0048042064901500413']","['0.0017174457778922818', '0.0010742532289921166']",0.05,7,"['11100', '00011']","['0.037719318077469491', '0.037844639350073719']","['0.00061318755495956502', '0.00039603618970363713']","['0.00013711290558464755', '8.8556384172733485e-05']",['0.8334954'],['0.00096804981276789727'],['0.0002164625186954962'],50,7000,1000,100,20
134,"[0.7, 0.3]",100,"['0.82208000000000003', '0.0054453190907420689']","['0.0059462256936648568', '0.0054453190907420689']","['0.0013296164860590459', '0.0012176103646076612']",0.05,7,"['11100', '00011']","['0.037323323610398529', '0.037520806399042594']","['0.00042747559504312157', '0.00073363934203680926']","['9.5586448923859189e-05', '0.00016404674397625245']",['0.83352939999999998'],['0.00073429233960323648'],['0.00016419275867101977'],50,7000,1000,100,20
135,"[0.8, 0.2]",100,"['0.77236999999999989', '0.007253543961402582']","['0.0074812498955722775', '0.007253543961402582']","['0.0016728583323162814', '0.0016219417375479283']",0.05,7,"['11100', '00011']","['0.035088061269554327', '0.035542128048095076']","['0.00099738361170651239', '0.00080924374627291062']","['0.00022302175554200166', '0.000180952402703282']",['0.8332927'],['0.0007702691153097179'],['0.0001722374102801153'],50,7000,1000,100,20
136,"[0.9, 0.1]",100,"['0.63441000000000003', '0.0082213137636268085']","['0.012302597286752072', '0.0082213137636268085']","['0.0027509443832982104', '0.001838341643982418']",0.05,7,"['11100', '00011']","['0.028810293307396866', '0.0285515601595475']","['0.0011740252129996825', '0.00075615628957589214']","['0.000262520018356596', '0.00016908168651057104']",['0.83321160000000005'],['0.00080797663332551504'],['0.00018066906763472736'],50,7000,1000,100,20
137,"[1.0, 0.0]",100,"['0.44667999999999991', '0.015099536416724846']","['0.013082874301926168', '0.015099536416724846']","['0.0029254196280192016', '0.0033763589856530348']",0.05,7,"['11100', '00011']","['0.019645732191922501', '0.019610285778243298']","['0.00088135491694356122', '0.0010966431768285507']","['0.00019707695065894839', '0.00024521686904499615']",['0.83345800000000003'],['0.00080756423893086997'],['0.00018057685344473071'],50,7000,1000,100,20
138,"[0.6, 0.4]",100,"['0.86642999999999992', '0.0052700189752979036']","['0.0063214792572624783', '0.0052700189752979036']","['0.0014135257337593782', '0.0011784120671479896']",0.05,7,"['11101', '00010']","['0.038518804374743018', '0.038513280991879853']","['0.00047223967081822936', '0.00050378569750533081']","['0.00010559600056216846', '0.00011264990657140658']",['0.83317059999999987'],['0.00083796971305652045'],['0.00018737572414803726'],50,7000,1000,100,20
139,"[0.7, 0.3]",100,"['0.87238000000000004', '0.0058591722964937551']","['0.0052664599115535083', '0.0058591722964937551']","['0.0011776162363011174', '0.0013101507546843588']",0.05,7,"['11101', '00010']","['0.03829549730930952', '0.038328927149490918']","['0.00041929407219362913', '0.00032536959450510242']","['9.3757004798765908e-05', '7.2754853112495105e-05']",['0.83310280000000003'],['0.00079700925967017533'],['0.00017821668833192935'],50,7000,1000,100,20
140,"[0.8, 0.2]",100,"['0.86980999999999997', '0.005891782412818734']","['0.006135951433966857', '0.005891782412818734']","['0.0013720404512987203', '0.0013174425983700417']",0.05,7,"['11101', '00010']","['0.036027510010956616', '0.036132051596065848']","['0.00040023624282724854', '0.00041337909185065551']","['8.9495544602084034e-05', '9.24343749855195e-05']",['0.83329739999999997'],['0.00050268841243855656'],['0.00011240454617140632'],50,7000,1000,100,20
141,"[0.9, 0.1]",100,"['0.84727999999999992', '0.0060254792340526751']","['0.0037917805843692789', '0.0060254792340526751']","['0.00084786791424135838', '0.0013473381164355147']",0.05,7,"['11101', '00010']","['0.030098184153307346', '0.029882490346718422']","['0.0005511777567757905', '0.00044135102546340031']","['0.00012324709318365127', '9.868908948754036e-05']",['0.8333039000000001'],['0.00098633350850509116'],['0.00022055087735032506'],50,7000,1000,100,20
142,"[1.0, 0.0]",100,"['0.53254999999999997', '0.010961619405908968']","['0.010385927979723316', '0.010961619405908968']","['0.0023223640972078389', '0.0024510926135093312']",0.05,7,"['11101', '00010']","['0.0097573945304221983', '0.0097190382413596763']","['0.00027276951457529109', '0.0002043712173348761']","['6.099311767799705e-05', '4.5698793460516632e-05']",['0.83308380000000004'],['0.00095925197940896554'],['0.00021449526335096754'],50,7000,1000,100,20
143,"[0.6, 0.4]",100,"['0.87751199999999996', '0.0052166748029755265']","['0.0048161661100921084', '0.0052166748029755265']","['0.00068110874315339325', '0.00073774922568579828']",0.05,7,"['01111', '10000']","['0.039412663752512012', '0.039386175897332419']","['0.00035839266707093779', '0.00041504659284424567']","['5.0684377042678557e-05', '5.8696452061707616e-05']",['0.83344139999999967'],['0.0011036330730818432'],['0.00015607728598358397'],50,15000,1000,100,50
144,"[0.7, 0.3]",100,"['0.89235199999999992', '0.0032622666966389846']","['0.0043765849700422724', '0.0032622666966389846']","['0.00061894258215120272', '0.00046135418064649269']",0.05,7,"['01111', '10000']","['0.041061525516856573', '0.040999515969862156']","['0.00039245271384657924', '0.00040638099465658113']","['5.5501195051195968e-05', '5.7470951413400527e-05']",['0.83343211999999989'],['0.00074786751874912432'],['0.00010576443878733265'],50,15000,1000,100,50
145,"[0.8, 0.2]",100,"['0.90111999999999981', '0.0049611692170293802']","['0.0052479329264006084', '0.0049611692170293802']","['0.00074216979189400663', '0.00070161527919508583']",0.05,7,"['01111', '10000']","['0.041881891097512218', '0.041988345208139322']","['0.00045028869972039704', '0.00036751004400036979']","['6.3680438612793153e-05', '5.1973768853365582e-05']",['0.83316887999999978'],['0.0009033848491091553'],['0.00012775791056525394'],50,15000,1000,100,50
146,"[0.9, 0.1]",100,"['0.90540399999999988', '0.0044769632564942811']","['0.0039471488444192326', '0.0044769632564942811']","['0.00055821114284829686', '0.00063313821555802292']",0.05,7,"['01111', '10000']","['0.041925285875835695', '0.041934133104306326']","['0.00040019901444195393', '0.00039149795168601237']","['5.6596687387215736e-05', '5.5366171291564535e-05']",['0.83344995999999982'],['0.00090747301800108619'],['0.00012833606495447799'],50,15000,1000,100,50
147,"[0.55, 0.45]",100,"['0.86688399999999988', '0.0043166079275282774']","['0.0059156862661909441', '0.0043166079275282774']","['0.00083660437483914878', '0.00061046054745577077']",0.05,7,"['01111', '10000']","['0.038486467669106225', '0.038490830374072166']","['0.00040880954331626058', '0.00037935862543410717']","['5.7814400058540697e-05', '5.3649411309212933e-05']",['0.8332484'],['0.00086315319613614017'],['0.00012206829563814135'],50,15000,1000,100,50
148,"[0.65, 0.35]",100,"['0.88537999999999983', '0.0038312065984491416']","['0.0050349577952550897', '0.0038312065984491416']","['0.00071205056000258845', '0.00054181443317800687']",0.05,7,"['01111', '10000']","['0.040304870703274369', '0.040217334652664298']","['0.00036320902001866205', '0.00033969980534277088']","['5.1365512208663281e-05', '4.804080718512469e-05']",['0.83357352000000007'],['0.00081800289094844086'],['0.00011568307824396848'],50,15000,1000,100,50
149,"[0.75, 0.25]",100,"['0.89716400000000018', '0.0051429563482495687']","['0.0048306835955173287', '0.0051429563482495687']","['0.0006831618256313833', '0.00072732386183873459']",0.05,7,"['01111', '10000']","['0.041594252231961094', '0.041672879968664207']","['0.00037717761052161956', '0.00039083073535708089']","['5.3340969222315132e-05', '5.5271812653423368e-05']",['0.83318459999999972'],['0.00098805200268002277'],['0.00013973165425199859'],50,15000,1000,100,50
150,"[0.85, 0.15]",100,"['0.90584800000000021', '0.0050123447606883623']","['0.0049437734575928935', '0.0050123447606883623']","['0.00069915514730279986', '0.00070885259398552076']",0.05,7,"['01111', '10000']","['0.042145956433007094', '0.042174975018141686']","['0.00035965968106982583', '0.00043731129345859587']","['5.086355988077296e-05', '6.1845156218806678e-05']",['0.83345227999999993'],['0.00064809061218320477'],['9.1653853339616998e-05'],50,15000,1000,100,50
151,"[0.95, 0.05]",100,"['0.90414400000000006', '0.0046100568326214557']","['0.0044667733320597307', '0.0046100568326214557']","['0.00063169714262453313', '0.0006519604896004016']",0.05,7,"['01111', '10000']","['0.041173950495293543', '0.041176013575703205']","['0.00037460445850146927', '0.00045909284809868392']","['5.2977070573820711e-05', '6.4925533216965e-05']",['0.83343232'],['0.00084317944566977691'],['0.00011924358075804267'],50,15000,1000,100,50
152,"[1.0, 0.0]",100,"['0.87598799999999988', '0.0058099239237704107']","['0.0060005879711908152', '0.0058099239237704107']","['0.00084861128910709057', '0.00082164732093520224']",0.05,7,"['01111', '10000']","['0.038572559859935358', '0.038533004065720231']","['0.00046213897099474214', '0.00044375045602860168']","['6.5356320048191077e-05', '6.2755791322489419e-05']",['0.83347956000000012'],['0.00077205754086073503'],['0.00010918542452176715'],50,15000,1000,100,50
153,"[0.5, 0.5]",100,"['0.85260000000000025', '0.0061589102932255732']","['0.0057922707119056503', '0.0061589102932255732']","['0.00081915077977134324', '0.00087100144661188608']",0.05,7,"['10000', '01111']","['0.037943816891876231', '0.038082247364638187']","['0.00045481760885506602', '0.00039670947032346217']","['6.4320923084893578e-05', '5.6103191325328703e-05']",['0.83343887999999977'],['0.00086874577731345186'],['0.00012285920605310403'],50,15000,1000,100,50
154,"[0.6, 0.4]",100,"['0.79755600000000015', '0.0077244805650607019']","['0.0064850955274383228', '0.0077244805650607019']","['0.00091713100481883756', '0.0010924065177396233']",0.05,7,"['10000', '01111']","['0.041053123864748547', '0.040553671636622948']","['0.0010176338729214289', '0.00083057941061891345']","['0.00014391516246157435', '0.00011746166671251192']",['0.83335347999999965'],['0.00079100875443955754'],['0.00011186553084842713'],50,15000,1000,100,50
155,"[0.7, 0.3]",100,"['0.68149199999999999', '0.02215272949322496']","['0.019521279056455294', '0.02215272949322496']","['0.0027607257596508933', '0.0031328690492901197']",0.05,7,"['10000', '01111']","['0.048445024445061685', '0.047452458250823629']","['0.0030417723755174863', '0.0029171972844831326']","['0.00043017157471086562', '0.00041255399638340099']",['0.83327759999999973'],['0.00080094354357843696'],['0.00011327052220237916'],50,15000,1000,100,50
156,"[0.8, 0.2]",100,"['0.54270400000000008', '0.050268684327322517']","['0.050994058320553412', '0.050268684327322517']","['0.007211648887737121', '0.0071090655138351345']",0.05,7,"['10000', '01111']","['0.052149915615419352', '0.053234258125146754']","['0.0059291876184137437', '0.0056123341903792012']","['0.00083851375438153471', '0.000793703912860449']",['0.83331588000000001'],['0.00087290039844187066'],['0.00012344675820773719'],50,15000,1000,100,50
157,"[0.9, 0.1]",100,"['0.47571600000000008', '0.042791863899577905']","['0.042069810363252184', '0.042791863899577905']","['0.0059495696382175422', '0.006051683428600671']",0.05,7,"['10000', '01111']","['0.04636545134642734', '0.047341725075938396']","['0.0033213360868006936', '0.0037149192951064585']","['0.0004697078539152724', '0.00052536892502610521']",['0.83324416000000001'],['0.00082394338057903871'],['0.00011652319034424131'],50,15000,1000,100,50
158,"[0.55, 0.45]",100,"['0.83221999999999996', '0.0060885584500766443']","['0.0066547126158835648', '0.0060885584500766443']","['0.00094111848350778742', '0.00086105219353997014']",0.05,7,"['10000', '01111']","['0.038840699963468311', '0.038835841563746684']","['0.0006456087498908135', '0.00068975323243507301']","['9.1302865008232781e-05', '9.7545837600036207e-05']",['0.83329604000000002'],['0.0009064139001582084'],['0.00012818628307272308'],50,15000,1000,100,50
159,"[0.65, 0.35]",100,"['0.74426400000000015', '0.012225013047027791']","['0.011625037806390135', '0.012225013047027791']","['0.0016440286128896902', '0.0017288779251294737']",0.05,7,"['10000', '01111']","['0.04402956249009489', '0.044165356481341685']","['0.0018690028412939291', '0.0018138585254298442']","['0.00026431691662717239', '0.00025651833268889489']",['0.83331775999999991'],['0.00084666835443402767'],['0.00011973698696727125'],50,15000,1000,100,50
160,"[0.75, 0.25]",100,"['0.61129999999999995', '0.028878224045117456']","['0.031733042715756048', '0.028878224045117456']","['0.0044877299383986949', '0.0040839976101853925']",0.05,7,"['10000', '01111']","['0.051476996855528326', '0.050545018505330684']","['0.0039006061308165221', '0.003569386963644827']","['0.0005516290091676368', '0.00050478754533442359']",['0.83333884000000025'],['0.00084663343567330056'],['0.00011973204870877109'],50,15000,1000,100,50
161,"[0.85, 0.15]",100,"['0.51211600000000013', '0.05054221775901805']","['0.05226532448956954', '0.05054221775901805']","['0.00739143307349799', '0.0071477489827217622']",0.05,7,"['10000', '01111']","['0.051774633940384375', '0.050922166205120065']","['0.0059426553082497918', '0.0051700288431502824']","['0.00084041837334353209', '0.00073115249078432116']",['0.83323879999999984'],['0.00093621177091512996'],['0.00013240033836815098'],50,15000,1000,100,50
162,"[0.95, 0.05]",100,"['0.46562000000000014', '0.030215360332122465']","['0.03095065104323334', '0.030215360332122465']","['0.0043770830469617569', '0.0042730972373677617']",0.05,7,"['10000', '01111']","['0.039558864414297144', '0.039606355289184603']","['0.0022062036737018342', '0.0024278796151362982']","['0.00031200431567064804', '0.00034335402795349231']",['0.83324224000000002'],['0.00095200946549918463'],['0.00013463446976165079'],50,15000,1000,100,50
163,"[1.0, 0.0]",100,"['0.42486799999999997', '0.014490659060236007']","['0.014340187446473652', '0.014490659060236007']","['0.0020280087573775439', '0.0020492886570710328']",0.05,7,"['10000', '01111']","['0.035794323397631764', '0.036466092970546156']","['0.0014032678803597685', '0.0015494942531372668']","['0.00019845204680473303', '0.00021913157876058922']",['0.83336332000000046'],['0.001042798052165374'],['0.00014747391481885182'],50,15000,1000,100,50
164,"[0.5, 0.5]",100,"['0.9580639999999998', '0.00328522510644246']","['0.0026218893950736726', '0.00328522510644246']","['0.00037079115415553776', '0.00046460099009795216']",0.1,7,"['00001', '11110']","['0.058361127177578249', '0.058401376927021721']","['0.00039420742818120164', '0.00056669488081494297']","['5.5749349132207314e-05', '8.0142758617589706e-05']",['0.90909236000000027'],['0.00051102574338283003'],['7.2269953701379109e-05'],50,15000,1000,100,50
165,"[0.5, 0.5]",100,"['0.98805199999999982', '0.0016526778270431687']","['0.0013034170476098404', '0.0016526778270431687']","['0.00018433100661581343', '0.00023372393972377454']",0.2,7,"['00001', '11110']","['0.073445557910102308', '0.073537199756121288']","['0.00056193993783011285', '0.00052752316654367036']","['7.9470308131843943e-05', '7.4603041659205955e-05']",['0.95244267999999987'],['0.00028948439957966976'],['4.0939276398100129e-05'],50,15000,1000,100,50
166,"[0.5, 0.5]",100,"['0.85019999999999962', '0.0052952869610625921']","['0.0055356300454419902', '0.0052952869610625921']","['0.00078285630865440549', '0.00074886666369921283']",0.05,7,"['00001', '11110']","['0.037945332216192396', '0.038010722255901817']","['0.00050410754958940117', '0.00046861442830896784']","['7.1291573352399865e-05', '6.6272088003825667e-05']",['0.83335495999999987'],['0.00082166282525131219'],['0.00011620067111682'],50,15000,1000,100,50
167,"[0.5, 0.5]",100,"['0.58255999999999997', '0.0084999915294075544']","['0.008568500452237858', '0.0084999915294075544']","['0.0012117689548754777', '0.001202080330094459']",0.025,7,"['00001', '11110']","['0.018114671829518484', '0.018098606003467934']","['0.00033928585361560945', '0.00036598560922433622']","['4.798226557045275e-05', '5.1758181219843597e-05']",['0.71467891999999977'],['0.0013037342802887143'],['0.00018437587009150259'],50,15000,1000,100,50
168,"[0.5, 0.5]",100,"['0.22243200000000007', '0.0084834181790125161']","['0.0079590310968107314', '0.0084834181790125161']","['0.0011255769720458946', '0.0011997365044041964']",0.0125,7,"['00001', '11110']","['0.0055189313758183083', '0.0055508744967370845']","['0.00020970935430465374', '0.00023802414191968451']","['2.965738130141459e-05', '3.3661696967503617e-05']",['0.55533016000000013'],['0.0014897827943697076'],['0.00021068710327877283'],50,15000,1000,100,50
169,"[0.6, 0.4]",100,"['0.92540399999999989', '0.0055806250545973489']","['0.0066137420572623014', '0.0055806250545973489']","['0.00093532437154176813', '0.00078921956387306648']",0.1,7,"['00001', '11110']","['0.062185531461979367', '0.062196632168794244']","['0.0025749025065397997', '0.0024172379452546107']","['0.00036414620465370618', '0.00034184906856619436']",['0.90905523999999971'],['0.00064977557848845474'],['9.1892143559719621e-05'],50,15000,1000,100,50
170,"[0.6, 0.4]",100,"['0.96693999999999958', '0.0032435166101008189']","['0.0035829038502309053', '0.0032435166101008189']","['0.00050669912176753268', '0.00045870251797869841']",0.2,7,"['00001', '11110']","['0.078783479341846652', '0.078703243867422418']","['0.003007729310114953', '0.0036381473168192965']","['0.00042535715823116392', '0.00051451172773571343']",['0.95230656000000014'],['0.00029844853224637901'],['4.2206996197317314e-05'],50,15000,1000,100,50
171,"[0.6, 0.4]",100,"['0.8141520000000001', '0.010306037065720232']","['0.010828965601570649', '0.010306037065720232']","['0.0015314470020212933', '0.0014574937392661368']",0.05,7,"['00001', '11110']","['0.040586789685188959', '0.039871675509386605']","['0.0013241095871203937', '0.001360522926862579']","['0.00018725737361739001', '0.00019240699750885975']",['0.83332759999999995'],['0.00092885719031508991'],['0.00013136024360513673'],50,15000,1000,100,50
172,"[0.6, 0.4]",100,"['0.55863600000000002', '0.009834613159651933']","['0.0090236746395246249', '0.009834613159651933']","['0.0012761403057657873', '0.001390824331107268']",0.025,7,"['00001', '11110']","['0.018897402017203947', '0.018681299598795328']","['0.0005582419748435748', '0.00055623495890959221']","['7.8947337190972357e-05', '7.8663502275598651e-05']",['0.71458716000000011'],['0.0012826776424339672'],['0.00018139801180828638'],50,15000,1000,100,50
173,"[0.6, 0.4]",100,"['0.21976400000000001', '0.007822003835335288']","['0.0073211682127922659', '0.007822003835335288']","['0.0010353695378945615', '0.001106198390886553']",0.0125,7,"['00001', '11110']","['0.0056121574697190809', '0.0055730340381479884']","['0.00024269475556218181', '0.00022898611568973143']","['3.4322221483286065e-05', '3.2383527040355272e-05']",['0.5558378799999999'],['0.0017400523858780738'],['0.00024608056833484341'],50,15000,1000,100,50
174,"[0.7, 0.3]",100,"['0.78508', '0.063938100566094364']","['0.065700630133964488', '0.063938100566094364']","['0.009291472219191103', '0.009042212897294552']",0.1,7,"['00001', '11110']","['0.069597215593506859', '0.074150133146891187']","['0.019209806952302351', '0.018811951230718341']","['0.0027166769522514954', '0.0026604116565183112']",['0.90923219999999971'],['0.00050082416075905144'],['7.0827232050957379e-05'],50,15000,1000,100,50
175,"[0.7, 0.3]",100,"['0.85618799999999984', '0.082368127428028848']","['0.081906672841716585', '0.082368127428028848']","['0.011583352758161164', '0.011648612291599371']",0.2,7,"['00001', '11110']","['0.095494225085930959', '0.08669765191795048']","['0.040427386142686393', '0.041089529909789285']","['0.0057172957774281217', '0.0058109370469958945']",['0.95241687999999969'],['0.00030216979597571814'],['4.2733262360837163e-05'],50,15000,1000,100,50
176,"[0.7, 0.3]",100,"['0.69660799999999989', '0.033956740479616103']","['0.035198453602395666', '0.033956740479616103']","['0.0049778130459068072', '0.0048022082920256568']",0.05,7,"['00001', '11110']","['0.046043788927391083', '0.04673341710465035']","['0.0046351381023729665', '0.0049191789496678536']","['0.000655507516784814', '0.00069567695863605151']",['0.83341292000000033'],['0.00078635414006670917'],['0.00011120726897105725'],50,15000,1000,100,50
177,"[0.7, 0.3]",100,"['0.51790800000000004', '0.01643064259242466']","['0.018728126868429753', '0.01643064259242466']","['0.0026485571015177315', '0.0023236437592711982']",0.025,7,"['00001', '11110']","['0.020539319974452921', '0.020749065900013523']","['0.0011550576411985076', '0.0012712554567717665']","['0.00016334981815056056', '0.00017978267082074359']",['0.71400435999999989'],['0.0014571686897542099'],['0.00020607477237158365'],50,15000,1000,100,50
178,"[0.7, 0.3]",100,"['0.21641199999999997', '0.0085307950391508049']","['0.0081807002145293049', '0.0085307950391508049']","['0.0011569257193095831', '0.0012064366042192187']",0.0125,7,"['00001', '11110']","['0.0057785722751393055', '0.0058460496706160096']","['0.00029034080705407015', '0.00032321580257798526']","['4.1060390704621599e-05', '4.5709617157909154e-05']",['0.55561855999999987'],['0.0018796944449563952'],['0.0002658289377174701'],50,15000,1000,100,50
179,"[0.8, 0.2]",100,"['0.59354400000000007', '0.24755510381327223']","['0.24901224721687887', '0.24755510381327223']","['0.035215649721111207', '0.03500957852474091']",0.1,7,"['00001', '11110']","['0.075345795024341924', '0.078114558960638569']","['0.045831692377532318', '0.044945445403426432']","['0.0064815800946817805', '0.0063562458456425143']",['0.90908464'],['0.00050982796157136563'],['7.2100561773125432e-05'],50,15000,1000,100,50
180,"[0.8, 0.2]",100,"['0.60727599999999993', '0.25572924544525599']","['0.25612724615706156', '0.25572924544525599']","['0.036221862520858863', '0.036165576720411909']",0.2,7,"['00001', '11110']","['0.093097010409894806', '0.10246805854365579']","['0.065014294999646366', '0.065409014406475147']","['0.0091944097736625183', '0.0092502315275094314']",['0.95245283999999975'],['0.00029855574755818196'],['4.2222158732121898e-05'],50,15000,1000,100,50
181,"[0.8, 0.2]",100,"['0.56012799999999996', '0.13564106900198039']","['0.14433467641561404', '0.13564106900198039']","['0.020412005690769348', '0.019182543939738547']",0.05,7,"['00001', '11110']","['0.048533313363821072', '0.050238405975493679']","['0.015778445234146173', '0.015933774068514199']","['0.0022314091243290641', '0.002253375938748151']",['0.83340268000000006'],['0.0008921829059111235'],['0.00012617371656569498'],50,15000,1000,100,50
182,"[0.8, 0.2]",100,"['0.4741120000000002', '0.036221136150043687']","['0.038343732942946476', '0.036221136150043687']","['0.0054226227159926933', '0.0051224421987954172']",0.025,7,"['00001', '11110']","['0.021579290010796476', '0.02221226694352468']","['0.0021346750277196815', '0.0023159016295556632']","['0.00030188863754603359', '0.00032751794936395701']",['0.7142950400000001'],['0.0011261220708253825'],['0.0001592577105448931'],50,15000,1000,100,50
183,"[0.8, 0.2]",100,"['0.21724800000000002', '0.01006554519139425']","['0.0097522559441392837', '0.01006554519139425']","['0.0013791772619935407', '0.0014234830522349038']",0.0125,7,"['00001', '11110']","['0.0060063171564697405', '0.0060509692993744417']","['0.00038282343470935208', '0.0004144254937221967']","['5.4139409336021673e-05', '5.8608615381509651e-05']",['0.55535575999999987'],['0.0017840701170077134'],['0.00025230561556968629'],50,15000,1000,100,50
184,"[0.9, 0.1]",100,"['0.509432', '0.32728010073330149']","['0.32240544997874959', '0.32728010073330149']","['0.045595015994294816', '0.04628439571518677']",0.1,7,"['00001', '11110']","['0.060614200231698341', '0.061408562340409416']","['0.040045245215729892', '0.040268589016094113']","['0.0056632528892641507', '0.0056948384724188538']",['0.90902040000000017'],['0.00040490413680277428'],['5.7262092172745444e-05'],50,15000,1000,100,50
185,"[0.9, 0.1]",100,"['0.48038400000000003', '0.34177957811431631']","['0.33872424617083446', '0.34177957811431631']","['0.047902842283939699', '0.048334931471142074']",0.2,7,"['00001', '11110']","['0.072491155498196805', '0.082884649417625966']","['0.054297094488403981', '0.054692724387175186']","['0.0076787687422954333', '0.007734719259147687']",['0.95231807999999996'],['0.00024286356993178263'],['3.4346095440387357e-05'],50,15000,1000,100,50
186,"[0.9, 0.1]",100,"['0.54553200000000002', '0.15765049769664538']","['0.16970283019443136', '0.15765049769664538']","['0.02399960440340632', '0.022295147195746427']",0.05,7,"['00001', '11110']","['0.043429677596318515', '0.036707473776963651']","['0.013335437905603665', '0.014233549118114053']","['0.0018859157146288964', '0.0020129278203540502']",['0.83315828000000014'],['0.00073558586283320546'],['0.00010402755035086343'],50,15000,1000,100,50
187,"[0.9, 0.1]",100,"['0.45688000000000012', '0.048656485528652794']","['0.048548301721069491', '0.048656485528652794']","['0.0068657666724117545', '0.0068810661732031011']",0.025,7,"['00001', '11110']","['0.018732640431296011', '0.018450113432204401']","['0.0022147904792187002', '0.002262893450933938']","['0.00031321867335258922', '0.00032002146085160306']",['0.71445036000000017'],['0.0012924213362522214'],['0.00018277597820282496'],50,15000,1000,100,50
188,"[0.9, 0.1]",100,"['0.22083999999999995', '0.011444891262043518']","['0.010649319227067983', '0.011444891262043518']","['0.0015060411680960107', '0.0016185520442667271']",0.0125,7,"['00001', '11110']","['0.0056698502377693126', '0.0057231122018657999']","['0.00033758396520018212', '0.00037193115875247177']","['4.7741582202578447e-05', '5.2599008897688625e-05']",['0.55563800000000019'],['0.0019966775202821564'],['0.00028237284288685062'],50,15000,1000,100,50
189,"[0.55, 0.45]",100,"['0.94769200000000009', '0.0038455876013945896']","['0.0035252710534085007', '0.0038455876013945896']","['0.00049854861347715885', '0.00054384821411860478']",0.1,7,"['00001', '11110']","['0.059198758078768295', '0.059451823360773121']","['0.00079452261357427026', '0.00074576559849451828']","['0.00011236246557288507', '0.00010546718237422359']",['0.90906604000000002'],['0.00039676421007945397'],['5.6110932695861167e-05'],50,15000,1000,100,50
190,"[0.55, 0.45]",100,"['0.98235200000000011', '0.0022734115333568681']","['0.0020709649924612362', '0.0022734115333568681']","['0.00029287867795385749', '0.00032150894233286969']",0.2,7,"['00001', '11110']","['0.074541872538429643', '0.074610010766784085']","['0.0011292555711015484', '0.0010183296097046339']","['0.00015970085440371846', '0.00014401355450103937']",['0.95236900000000024'],['0.00032765573396478835'],['4.6337518276231441e-05'],50,15000,1000,100,50
191,"[0.55, 0.45]",100,"['0.83933199999999997', '0.00613014714342158']","['0.006358818758228621', '0.00613014714342158']","['0.00089927277285593583', '0.0008669337229569485']",0.05,7,"['00001', '11110']","['0.038636581820037257', '0.038614211161997126']","['0.00076870142132124222', '0.00070367786620725229']","['0.00010871079754479753', '9.9515078193205639e-05']",['0.83330039999999994'],['0.00090897348696209292'],['0.00012854826330993554'],50,15000,1000,100,50
192,"[0.55, 0.45]",100,"['0.57228400000000001', '0.0082880501928982078']","['0.0086761364673453613', '0.0082880501928982078']","['0.0012269909861119604', '0.0011721072988425591']",0.025,7,"['00001', '11110']","['0.018260416720131192', '0.018250496858597937']","['0.00046467683086318291', '0.00039406854214304066']","['6.5715227632726203e-05', '5.5729707680328164e-05']",['0.71420023999999993'],['0.0015174759379970415'],['0.00021460350520902498'],50,15000,1000,100,50
193,"[0.55, 0.45]",100,"['0.222332', '0.0085536275345609973']","['0.0067659866981837902', '0.0085536275345609973']","['0.00095685501514074722', '0.0012096656066864103']",0.0125,7,"['00001', '11110']","['0.0055828561206714821', '0.0055686016824991469']","['0.0002531224566631333', '0.00025711931520309528']","['3.5796921115419908e-05', '3.6362162270830008e-05']",['0.55555003999999986'],['0.0015553709005893125'],['0.00021996266221338605'],50,15000,1000,100,50
194,"[0.65, 0.35]",100,"['0.87118400000000018', '0.017401524530913974']","['0.016254173125692991', '0.017401524530913974']","['0.0022986872079515308', '0.0024609471997586651']",0.1,7,"['00001', '11110']","['0.065607241348498962', '0.068231122131357139']","['0.0062057453485949233', '0.0066776123639629694']","['0.00087762492366166909', '0.00094435699693866957']",['0.90912051999999999'],['0.00063462087075669517'],['8.9748944238914145e-05'],50,15000,1000,100,50
195,"[0.65, 0.35]",100,"['0.92676799999999981', '0.016896686065616558']","['0.015819145868219288', '0.016896686065616558']","['0.0022371650631994025', '0.0023895522593155426']",0.2,7,"['00001', '11110']","['0.085768904854050185', '0.082536243365885845']","['0.013386948462796748', '0.013062754916227177']","['0.0018932004074876817', '0.0018473525164484296']",['0.95238027999999986'],['0.00034027589041838672'],['4.8122277917826357e-05'],50,15000,1000,100,50
196,"[0.65, 0.35]",100,"['0.76966800000000002', '0.021401127446936074']","['0.019563378440341016', '0.021401127446936074']","['0.0027666795116167674', '0.0030265764685532084']",0.05,7,"['00001', '11110']","['0.043532195625469845', '0.042420024909361323']","['0.0029117659902758021', '0.0029967890129684463']","['0.00041178589539047646', '0.00042380996657106579']",['0.83317948000000031'],['0.00098616605579384341'],['0.00013946494108556357'],50,15000,1000,100,50
